sample_id	contig_id	gene_id	start	end	strand	gene	product	functional_label	tool	source_file
SRR11038083	contig_34	HJHHLH_0066	111	518	+	HJHHLH_0066	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	contig_35	1	7072	+	contig_35	contig_35	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	HJHHLH_0067	528	677	+	HJHHLH_0067	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	HJHHLH_0068	691	1884		HJHHLH_0068	Plasmid recombination enzyme	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	HJHHLH_0069	2103	2510		HJHHLH_0069	DUF2442 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	HJHHLH_0070	2497	2745		HJHHLH_0070	DUF4160 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	HJHHLH_0071	2807	5959		HJHHLH_0071	site-specific DNA-methyltransferase (adenine-specific)	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	HJHHLH_0072	5985	6380		HJHHLH_0072	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_35	repL	6436	6996		repL	Plasmid replication protein RepL domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_36	contig_36	1	3086	+	contig_36	contig_36	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_36	HJHHLH_0074	60	1037	+	HJHHLH_0074	Replication protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_36	HJHHLH_0075	1223	1411	+	HJHHLH_0075	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_36	HJHHLH_0076	1464	1778	+	HJHHLH_0076	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_36	HJHHLH_0077	2158	2427		HJHHLH_0077	Txe/YoeB family addiction module toxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_36	HJHHLH_0078	2415	2678		HJHHLH_0078	Prevent-host-death protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_37	contig_37	1	749	+	contig_37	contig_37	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_38	contig_38	1	2869	+	contig_38	contig_38	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_38	HJHHLH_0079	38	934	+	HJHHLH_0079	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_38	HJHHLH_0080	1246	1827	+	HJHHLH_0080	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_38	HJHHLH_0081	1827	2723	+	HJHHLH_0081	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_39	contig_39	1	1444	+	contig_39	contig_39	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_39	HJHHLHJKEC_432	114	214	?	HJHHLHJKEC_432	origin of transfer	oriT	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_39	HJHHLH_0082	588	1067	+	HJHHLH_0082	Helix-turn-helix domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_40	contig_40	1	1462	+	contig_40	contig_40	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_40	HJHHLH_0083	157	705	+	HJHHLH_0083	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_40	HJHHLH_0084	698	943	+	HJHHLH_0084	Complexin-2	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_41	contig_41	1	2958	+	contig_41	contig_41	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_41	HJHHLH_0085	47	211	+	HJHHLH_0085	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_41	HJHHLH_0086	400	1365	+	HJHHLH_0086	Replication initiation factor domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_41	HJHHLH_0087	1781	2659		HJHHLH_0087	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_42	contig_42	1	2570	+	contig_42	contig_42	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_42	HJHHLH_0088	44	493	+	HJHHLH_0088	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_42	HJHHLH_0089	831	1034		HJHHLH_0089	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_42	HJHHLH_0090	1530	1811		HJHHLH_0090	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_42	merR	1826	2074		merR	MerR HTH family regulatory protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_42	HJHHLH_0092	2071	2472		HJHHLH_0092	primase C-terminal domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_43	contig_43	1	687	+	contig_43	contig_43	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_43	HJHHLH_0093	105	635		HJHHLH_0093	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_44	contig_44	1	618	+	contig_44	contig_44	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_44	HJHHLH_0094	28	309		HJHHLH_0094	plasmid mobilization protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_44	HJHHLH_0095	275	436		HJHHLH_0095	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_45	contig_45	1	374	+	contig_45	contig_45	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_46	contig_46	1	801	+	contig_46	contig_46	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_47	contig_47	1	841	+	contig_47	contig_47	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_47	HJHHLH_0096	42	608	+	HJHHLH_0096	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_48	contig_48	1	543	+	contig_48	contig_48	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_49	contig_49	1	1787	+	contig_49	contig_49	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_49	HJHHLH_0097	24	1250	+	HJHHLH_0097	Plasmid recombination enzyme	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_49	HJHHLH_0098	1075	1512		HJHHLH_0098	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_50	contig_50	1	607	+	contig_50	contig_50	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_50	mbpA	49	348		mbpA	mobilization protein MbpA	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	contig_51	1	11033	+	contig_51	contig_51	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0100	97	645	+	HJHHLH_0100	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0101	881	1150	+	HJHHLH_0101	type II toxin-antitoxin system RelB/DinJ family antitoxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	yafQ	1143	1421	+	yafQ	Type II toxin-antitoxin system YafQ family toxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0103	1440	1679	+	HJHHLH_0103	DUF5348 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0104	1684	2202	+	HJHHLH_0104	TetR/AcrR family transcriptional regulator	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0105	2257	3225	+	HJHHLH_0105	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0106	3469	4695	+	HJHHLH_0106	Plasmid recombination enzyme	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0107	4888	5055	+	HJHHLH_0107	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0108	5071	6588	+	HJHHLH_0108	Replication protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0109	6837	7118	+	HJHHLH_0109	Type II toxin-antitoxin system RelB/DinJ family antitoxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	yafQ	7111	7383	+	yafQ	mRNA interferase YafQ	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0111	7402	7650	+	HJHHLH_0111	DUF5060 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0112	7647	8138	+	HJHHLH_0112	DUF536 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	HJHHLH_0113	8176	9450	+	HJHHLH_0113	GNAT family N-acetyltransferase	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_51	sdpI	9486	9845	+	sdpI	SdpI family protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_52	contig_52	1	357	+	contig_52	contig_52	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_53	contig_53	1	3454	+	contig_53	contig_53	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_53	HJHHLH_0115	75	308		HJHHLH_0115	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_53	HJHHLH_0116	301	669		HJHHLH_0116	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_53	HJHHLH_0117	867	1979	+	HJHHLH_0117	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_53	HJHHLH_0118	2039	2287		HJHHLH_0118	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_53	HJHHLH_0119	2361	3302	+	HJHHLH_0119	Uncultured bacterium plasmid pRGI00557	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_54	contig_54	1	973	+	contig_54	contig_54	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_54	marR	313	753	+	marR	MarR family transcriptional regulator	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	contig_55	1	11660	+	contig_55	contig_55	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0121	296	736	+	HJHHLH_0121	helix-turn-helix domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0122	760	1164	+	HJHHLH_0122	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0123	1222	1941	+	HJHHLH_0123	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0124	2066	2431	+	HJHHLH_0124	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	Pistol	2655	2729	+	Pistol	Pistol ribozyme	ncRNA	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0126	3214	4236	+	HJHHLH_0126	Tyr recombinase domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0127	4251	5021	+	HJHHLH_0127	DUF3164 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0128	5172	5306	+	HJHHLH_0128	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0129	5438	6952	+	HJHHLH_0129	Replication protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0130	7163	7441	+	HJHHLH_0130	Antitoxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0131	7473	7745	+	HJHHLH_0131	Type II toxin-antitoxin system RelE/ParE family toxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0132	7751	7981	+	HJHHLH_0132	Type II toxin-antitoxin system RelB/DinJ family antitoxin	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0133	7978	8478	+	HJHHLH_0133	DUF536 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	traX	8475	9302	+	traX	Conjugal transfer protein TraX	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0135	9355	9768		HJHHLH_0135	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0136	10127	11395	+	HJHHLH_0136	Plasmid recombination protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_55	HJHHLH_0137	11392	11649	+	HJHHLH_0137	hypothetical protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	contig_56	1	2848	+	contig_56	contig_56	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	HJHHLH_0138	205	435		HJHHLH_0138	Charged multivesicular body protein 2b-B	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	mbpC	454	906		mbpC	mobilization protein MbpC	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	mbpB	863	1657		mbpB	mobilization protein MbpB	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	mbpA	1654	1953		mbpA	mobilization protein MbpA	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	HJHHLH_0142	2147	2344		HJHHLH_0142	DUF2750 domain-containing protein	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_56	HJHHLH_0143	2355	2630		HJHHLH_0143	Type II toxin-antitoxin system mRNA interferase toxin%2C RelE/StbE family	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_57	contig_57	1	1584	+	contig_57	contig_57	region	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_57	HJHHLH_0144	28	348	+	HJHHLH_0144	Uncultured bacterium plasmid pRGI00557	CDS	bakta	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
